基准收益：326.88%
fastMaLength,stop_profit,优化值,策略收益(%),最大回撤率(%),times
19,1.1,94020.82,940.21,-40.02,94
19,1.11,94020.82,940.21,-40.02,94
19,1.12,94020.82,940.21,-40.02,94
19,1.05,85156.54,851.57,-40.02,94
19,1.06,85156.54,851.57,-40.02,94
19,1.07,85156.54,851.57,-40.02,94
19,1.08,85156.54,851.57,-40.02,94
19,1.09,85156.54,851.57,-40.02,94
19,1.03,82743.11,827.43,-40.02,94
19,1.04,82743.11,827.43,-40.02,94
33,1.1,47070.47,470.7,-31.08,65
33,1.11,47070.47,470.7,-31.08,65
33,1.12,47070.47,470.7,-31.08,65
16,1.11,44561.77,445.62,-41.56,97
16,1.12,44561.77,445.62,-41.56,97
21,1.09,43028.93,430.29,-36.4,83
21,1.1,43028.93,430.29,-36.4,83
21,1.11,43028.93,430.29,-36.4,83
21,1.12,43028.93,430.29,-36.4,83
33,1.05,42210.6,422.11,-31.07,65
33,1.06,42210.6,422.11,-31.07,65
33,1.07,42210.6,422.11,-31.07,65
33,1.08,42210.6,422.11,-31.07,65
33,1.09,42210.6,422.11,-31.07,65
33,1.03,40845.48,408.45,-31.09,65
33,1.04,40845.48,408.45,-31.09,65
5,1.03,40724.39,407.24,-57.32,208
5,1.04,40724.39,407.24,-57.32,208
5,1.05,40724.39,407.24,-57.32,208
5,1.06,40724.39,407.24,-57.32,208
5,1.07,40724.39,407.24,-57.32,208
5,1.08,40724.39,407.24,-57.32,208
5,1.09,40724.39,407.24,-57.32,208
5,1.1,40724.39,407.24,-57.32,208
5,1.11,40724.39,407.24,-57.32,208
5,1.12,40724.39,407.24,-57.32,208
16,1.06,39951.84,399.52,-41.56,97
16,1.07,39951.84,399.52,-41.56,97
16,1.08,39951.84,399.52,-41.56,97
16,1.09,39951.84,399.52,-41.56,97
16,1.1,39951.84,399.52,-41.56,97
16,1.03,38668.69,386.69,-41.56,97
16,1.04,38668.69,386.69,-41.56,97
16,1.05,38668.69,386.69,-41.56,97
21,1.05,38524.3,385.24,-36.4,83
21,1.06,38524.3,385.24,-36.4,83
21,1.07,38524.3,385.24,-36.4,83
21,1.08,38524.3,385.24,-36.4,83
21,1.03,37313.53,373.14,-36.4,83
21,1.04,37313.53,373.14,-36.4,83
15,1.1,34611.34,346.11,-53.39,107
15,1.11,34611.34,346.11,-53.39,107
15,1.12,34611.34,346.11,-53.39,107
20,1.1,32900.63,329.01,-40.04,92
20,1.11,32900.63,329.01,-40.04,92
20,1.12,32900.63,329.01,-40.04,92
15,1.05,30750.19,307.5,-53.42,107
15,1.06,30750.19,307.5,-53.42,107
15,1.07,30750.19,307.5,-53.42,107
15,1.08,30750.19,307.5,-53.42,107
15,1.09,30750.19,307.5,-53.42,107
15,1.03,29704.55,297.05,-53.42,107
15,1.04,29704.55,297.05,-53.42,107
20,1.05,29305.98,293.06,-40.04,92
20,1.06,29305.98,293.06,-40.04,92
20,1.07,29305.98,293.06,-40.04,92
20,1.08,29305.98,293.06,-40.04,92
20,1.09,29305.98,293.06,-40.04,92
20,1.03,28242.9,282.43,-40.04,92
20,1.04,28242.9,282.43,-40.04,92
35,1.09,26769.62,267.7,-42.68,53
35,1.1,26769.62,267.7,-42.68,53
35,1.11,26769.62,267.7,-42.68,53
35,1.12,26769.62,267.7,-42.68,53
37,1.1,26102.2,261.02,-43.67,54
37,1.11,26102.2,261.02,-43.67,54
37,1.12,26102.2,261.02,-43.67,54
31,1.1,23849.78,238.5,-33.96,75
31,1.11,23849.78,238.5,-33.96,75
31,1.12,23849.78,238.5,-33.96,75
35,1.04,23652.85,236.53,-42.66,53
35,1.05,23652.85,236.53,-42.66,53
35,1.06,23652.85,236.53,-42.66,53
35,1.07,23652.85,236.53,-42.66,53
35,1.08,23652.85,236.53,-42.66,53
37,1.05,23024.82,230.25,-43.71,54
37,1.06,23024.82,230.25,-43.71,54
37,1.07,23024.82,230.25,-43.71,54
37,1.08,23024.82,230.25,-43.71,54
37,1.09,23024.82,230.25,-43.71,54
35,1.03,22755.2,227.55,-42.7,53
37,1.03,22155.49,221.55,-43.71,54
37,1.04,22155.49,221.55,-43.71,54
31,1.05,20997.17,209.97,-33.94,75
31,1.06,20997.17,209.97,-33.94,75
31,1.07,20997.17,209.97,-33.94,75
31,1.08,20997.17,209.97,-33.94,75
31,1.09,20997.17,209.97,-33.94,75
32,1.1,20481.63,204.82,-59.18,69
32,1.11,20481.63,204.82,-59.18,69
32,1.12,20481.63,204.82,-59.18,69
31,1.03,20141.56,201.42,-34.01,75
31,1.04,20141.56,201.42,-34.01,75
22,1.08,19756.64,197.57,-48.97,87
22,1.09,19756.64,197.57,-48.97,87
22,1.1,19756.64,197.57,-48.97,87
22,1.11,19756.64,197.57,-48.97,87
22,1.12,19756.64,197.57,-48.97,87
25,1.08,19616.92,196.17,-37.95,84
25,1.09,19616.92,196.17,-37.95,84
25,1.1,19616.92,196.17,-37.95,84
25,1.11,19616.92,196.17,-37.95,84
25,1.12,19616.92,196.17,-37.95,84
34,1.05,18972.35,189.72,-57.91,63
34,1.06,18972.35,189.72,-57.91,63
34,1.07,18972.35,189.72,-57.91,63
34,1.08,18972.35,189.72,-57.91,63
34,1.09,18972.35,189.72,-57.91,63
34,1.1,18972.35,189.72,-57.91,63
34,1.11,18972.35,189.72,-57.91,63
34,1.12,18972.35,189.72,-57.91,63
32,1.05,17885.55,178.86,-59.18,69
32,1.06,17885.55,178.86,-59.18,69
32,1.07,17885.55,178.86,-59.18,69
32,1.08,17885.55,178.86,-59.18,69
32,1.09,17885.55,178.86,-59.18,69
22,1.03,17237.42,172.37,-48.97,87
22,1.04,17237.42,172.37,-48.97,87
22,1.05,17237.42,172.37,-48.97,87
22,1.06,17237.42,172.37,-48.97,87
22,1.07,17237.42,172.37,-48.97,87
